dev,VBUS,ILOAD,TJ,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG,E_tot,ov_pct,margin,Vgs_spur_hs
0,200,10,125,1,2,8,25n,1,-2,2.2833779861744064e-05,7.812704999999994,3.033953699999998,-1.7839536999999979
0,200,2,125,1,2,8,25n,1,-2,1.0546343501599188e-05,2.9812344999999993,3.0286224999999973,-1.7786224999999973
0,50,2,25,2,8,8,25n,1,0,9.287136106286411e-07,5.8885449999999935,1.069130169,0.33086983100000006
0,100,10,25,2,8,8,25n,1,0,5.295744033765152e-06,22.365277000000006,1.016549599999999,0.38345040000000097
0,200,10,125,2,8,8,25n,1,0,1.591681069760103e-05,5.240469000000005,0.8729399999999998,0.3770600000000002
0,200,2,125,2,8,8,25n,1,0,0.00015543726347460427,167.37244199999998,-1.6172840499999999,2.499414399999992
0,50,2,25,4,2,4,35n,0,0,7.492087031339913e-07,6.6271375999999975,-0.19157239999999875,1.5915723999999987
0,100,10,25,4,2,4,35n,0,0,5.283434367227934e-06,18.621500999999995,-0.24507019999999935,1.6450701999999993
0,200,10,125,4,2,4,35n,0,0,1.4599161084422055e-05,8.814678,-0.47826200000000085,1.7282620000000009
0,200,2,125,4,2,4,35n,0,0,7.980655021997088e-06,2.2235325000000046,-0.5231869999999788,1.7731869999999788
0,50,2,25,8,2,1,35n,0,-2,6.753790949736209e-07,12.492412599999993,0.5233471199999999,0.87665288
0,100,10,25,8,2,1,35n,0,-2,6.4649664761762446e-06,21.387763000000003,0.18356530000000637,1.2164346999999935
0,200,10,125,8,2,1,35n,0,-2,1.5393041268304485e-05,8.989534000000006,-1.5741413000000009,2.824141300000001
0,200,2,125,8,2,1,35n,0,-2,9.19487720595113e-06,3.5194814999999977,-0.8218073000000032,2.0718073000000032
0,50,2,25,8,8,1,5n,1,-2,4.809382179378101e-07,60.8370572,1.776180099999999,-0.37618009999999913
0,100,10,25,8,8,1,5n,1,-2,5.2585764563930284e-06,23.564057000000005,1.8243050000000038,-0.42430500000000393
0,200,10,125,8,8,1,5n,1,-2,1.5467595835504982e-05,3.7587199999999967,1.6379579999999976,-0.3879579999999976
0,200,2,125,8,8,1,5n,1,-2,6.2428766099077e-06,24.627735,1.627775999999983,-0.377775999999983
