t_us,vout_closed,vout_open,iout,vin
732.9332,50.1475,49.6131,5.8591,100.000
733.3083,50.1459,49.6090,5.4850,100.000
733.6834,50.1455,49.6071,4.6273,100.000
734.0585,50.1447,49.6018,3.9624,100.000
734.4336,50.1441,49.5990,4.7900,100.000
734.8087,50.1434,49.5953,5.6116,100.000
735.1838,50.1424,49.5907,5.7809,100.000
735.5589,50.1420,49.5890,4.9230,100.000
735.9340,50.1417,49.5883,4.0663,100.000
736.3091,50.1403,49.5833,4.5217,100.000
736.6842,50.1390,49.5796,5.3452,100.000
737.0593,50.1373,49.5744,6.0569,100.000
737.4344,50.1367,49.5726,5.1988,100.000
737.8095,50.1365,49.5718,4.3417,100.000
738.1845,50.1355,49.5684,4.2374,100.000
738.5596,50.1360,49.5651,5.0629,100.000
738.9347,50.1375,49.5613,5.8828,100.000
739.3098,50.1356,49.5579,5.4736,100.000
739.6849,50.1334,49.5571,4.6162,100.000
740.0600,50.1283,49.5551,3.9518,100.000
740.4351,50.1285,49.5531,4.7796,100.000
740.8102,50.1301,49.5507,5.6016,100.000
741.1853,50.1296,49.5464,5.7634,100.000
741.5604,50.1279,49.5448,4.9058,100.000
741.9355,50.1251,49.5434,4.0493,100.000
742.3106,50.1223,49.5383,4.5125,100.000
742.6857,50.1222,49.5345,5.3363,100.000
743.0608,50.1216,49.5296,6.0583,100.000
743.4359,50.1208,49.5283,5.2005,100.000
743.8110,50.1200,49.5281,4.3437,100.000
744.1860,50.1181,49.5262,4.2426,100.000
744.5611,50.1174,49.5234,5.0683,100.000
744.9362,50.1166,49.5200,5.8885,100.000
745.3113,50.1153,49.5176,5.4779,100.000
745.6864,50.1148,49.5174,4.6208,100.000
746.0615,50.1131,49.5170,3.9576,100.000
746.4366,50.1125,49.5147,4.7857,100.000
746.8117,50.1121,49.5113,5.6079,100.000
747.1868,50.1105,49.5088,5.7535,100.000
747.5619,50.1095,49.5085,4.8962,100.000
747.9370,50.1082,49.5095,4.0400,100.000
748.3121,50.1063,49.5080,4.5033,100.000
748.6872,50.1075,49.5053,5.3275,100.000
749.0623,50.1085,49.5023,6.0471,100.000
749.4374,50.1069,49.5018,5.1896,100.000
749.8125,50.1042,49.5021,4.3330,100.000
750.1875,50.1002,49.5019,4.2349,100.000
750.5626,50.1010,49.5013,5.0610,100.000
750.9377,50.1032,49.5008,5.8815,100.000
751.3128,50.1014,49.4993,5.4662,100.000
751.6879,50.0994,49.4988,4.6094,100.000
752.0630,50.0951,49.4974,3.9536,100.000
752.4381,50.0944,49.4957,4.7820,100.000
752.8132,50.0936,49.4928,5.6045,100.000
753.1883,50.0923,49.4911,5.7636,100.000
753.5634,50.0919,49.4911,4.9065,100.000
753.9385,50.0916,49.4923,4.0506,100.000
754.3136,50.0903,49.4919,4.5243,100.000
754.6887,50.0894,49.4897,5.3486,100.000
755.0638,50.0878,49.4877,6.0436,100.000
755.4389,50.0872,49.4877,5.1864,100.000
755.8140,50.0867,49.4889,4.3301,100.000
756.1890,50.0852,49.4907,4.2370,100.000
756.5641,50.0857,49.4903,5.0633,100.000
756.9392,50.0871,49.4897,5.8841,100.000
757.3143,50.0853,49.4898,5.4616,100.000
757.6894,50.0833,49.4902,4.6050,100.000
758.0645,50.0788,49.4911,3.9514,100.000
758.4396,50.0780,49.4901,4.7801,100.000
758.8147,50.0771,49.4879,5.6029,100.000
759.1898,50.0759,49.4876,5.7585,100.000
759.5649,50.0754,49.4882,4.9018,100.000
759.9400,50.0750,49.4895,4.0461,100.000
760.3151,50.0738,49.4913,4.5255,100.000
760.6902,50.0733,49.4918,5.3500,100.000
761.0653,50.0722,49.4927,6.0415,100.000
761.4404,50.0718,49.4931,5.1845,100.000
761.8155,50.0716,49.4935,4.3285,100.000
762.1905,50.0707,49.4946,4.2460,100.000
762.5656,50.0701,49.4950,5.0725,100.000
762.9407,50.0693,49.4952,5.8935,100.000
763.3158,50.0681,49.4960,5.4652,100.000
763.6909,50.0676,49.4965,4.6089,100.000
764.0660,50.0664,49.4977,3.9666,100.000
764.4411,50.0657,49.4981,4.7954,100.000
764.8162,50.0648,49.4985,5.6184,100.000
765.1913,50.0641,49.4997,5.7655,100.000
765.5664,50.0639,49.5005,4.9089,100.000
765.9415,50.0639,49.5016,4.0535,100.000
766.3166,50.0636,49.5036,4.5435,100.000
766.6917,50.0634,49.5037,5.3682,100.000
767.0668,50.0629,49.5049,6.0462,100.000
767.4419,50.0629,49.5060,5.1894,100.000
767.8170,50.0631,49.5076,4.3336,100.000
768.1920,50.0632,49.5109,4.2661,100.000
768.5671,50.0626,49.5116,5.0927,100.000
768.9422,50.0618,49.5120,5.9136,100.000
769.3173,50.0614,49.5143,5.4737,100.000
769.6924,50.0613,49.5153,4.6175,100.000
770.0675,50.0610,49.5184,3.9930,100.000
770.4426,50.0609,49.5197,4.8217,100.000
770.8177,50.0609,49.5211,5.6445,100.000
771.1928,50.0606,49.5240,5.7549,100.000
771.5679,50.0603,49.5253,4.8984,100.000
771.9430,50.0600,49.5268,4.0431,100.000
772.3181,50.0592,49.5303,4.5434,100.000
772.6932,50.0591,49.5314,5.3681,100.000
773.0683,50.0586,49.5339,6.0365,100.000
773.4434,50.0583,49.5351,5.1798,100.000
773.8185,50.0579,49.5363,4.3241,100.000
774.1935,50.0570,49.5396,4.2664,100.000
774.5686,50.0568,49.5408,5.0931,100.000
774.9437,50.0567,49.5419,5.9141,100.000
775.3188,50.0560,49.5449,5.4627,100.000
775.6939,50.0554,49.5469,4.6066,100.000
776.0690,50.0538,49.5518,3.9871,100.000
776.4441,50.0537,49.5526,4.8160,100.000
776.8192,50.0539,49.5525,5.6390,100.000
777.1943,50.0533,49.5551,5.7467,100.000
777.5694,50.0528,49.5570,4.8903,100.000
777.9445,50.0520,49.5594,4.0351,100.000
778.3196,50.0508,49.5642,4.5370,100.000
778.6947,50.0508,49.5658,5.3619,100.000
779.0698,50.0502,49.5691,6.0309,100.000
779.4449,50.0498,49.5707,5.1743,100.000
779.8200,50.0494,49.5725,4.3187,100.000
780.1950,50.0483,49.5766,4.2557,100.000
780.5701,50.0478,49.5777,5.0826,100.000
780.9452,50.0473,49.5786,5.9039,100.000
781.3203,50.0463,49.5814,5.4555,100.000
781.6954,50.0458,49.5831,4.5996,100.000
782.0705,50.0445,49.5870,3.9859,100.000
782.4456,50.0444,49.5878,4.8150,100.000
782.8207,50.0444,49.5880,5.6381,100.000
783.1958,50.0440,49.5904,5.7548,100.000
783.5709,50.0437,49.5920,4.8985,100.000
783.9460,50.0432,49.5940,4.0435,100.000
784.3211,50.0426,49.5979,4.5453,100.000
784.6962,50.0428,49.5987,5.3703,100.000
785.0713,50.0427,49.6010,6.0376,100.000
785.4464,50.0424,49.6024,5.1812,100.000
785.8215,50.0421,49.6041,4.3257,100.000
786.1965,50.0413,49.6078,4.2695,100.000
786.5716,50.0413,49.6088,5.0964,100.000
786.9467,50.0413,49.6095,5.9177,100.000
787.3218,50.0407,49.6119,5.4628,100.000
787.6969,50.0406,49.6131,4.6070,100.000
788.0720,50.0400,49.6161,3.9877,100.000
788.4471,50.0395,49.6170,4.8168,100.000
788.8222,50.0387,49.6176,5.6400,100.000
789.1973,50.0381,49.6198,5.7480,100.000
789.5724,50.0379,49.6213,4.8919,100.000
789.9475,50.0379,49.6234,4.0369,100.000
790.3226,50.0377,49.6266,4.5513,100.000
790.6977,50.0378,49.6271,5.3764,100.000
791.0728,50.0378,49.6285,6.0347,100.000
791.4479,50.0377,49.6295,5.1783,100.000
791.8230,50.0377,49.6309,4.3229,100.000
792.1980,50.0375,49.6332,4.2833,100.000
792.5731,50.0375,49.6334,5.1102,100.000
792.9482,50.0374,49.6332,5.9315,100.000
793.3233,50.0372,49.6343,5.4613,100.000
793.6984,50.0371,49.6348,4.6056,100.000
794.0735,50.0369,49.6362,3.9986,100.000
794.4486,50.0367,49.6367,4.8277,100.000
794.8237,50.0365,49.6371,5.6509,100.000
795.1988,50.0362,49.6380,5.7459,100.000
795.5739,50.0359,49.6385,4.8898,100.000
795.9490,50.0356,49.6390,4.0349,100.000
796.3241,50.0351,49.6398,4.5541,100.000
796.6992,50.0351,49.6398,5.3791,100.000
797.0743,50.0349,49.6399,6.0288,100.000
797.4494,50.0346,49.6401,5.1725,100.000
797.8245,50.0342,49.6403,4.3172,100.000
798.1995,50.0334,49.6404,4.2786,100.000
798.5746,50.0336,49.6396,5.1056,100.000
798.9497,50.0340,49.6384,5.9270,100.000
799.3248,50.0337,49.6389,5.4572,100.000
799.6999,50.0335,49.6397,4.6016,100.000
800.0750,50.0329,49.6420,4.0051,100.000
800.4501,50.0327,49.6422,4.8342,100.000
800.8252,50.0324,49.6426,5.6574,100.000
801.2003,50.0320,49.6430,5.7406,100.000
801.5754,50.0321,49.6433,4.8846,100.000
801.9505,50.0325,49.6435,4.0297,100.000
802.3256,50.0324,49.6440,4.5586,100.000
802.7007,50.0320,49.6441,5.3837,100.000
803.0758,50.0316,49.6443,6.0253,100.000
803.4509,50.0314,49.6444,5.1691,100.000
803.8260,50.0311,49.6444,4.3138,100.000
804.2011,50.0306,49.6441,4.2844,100.000
804.5761,50.0307,49.6434,5.1113,100.000
804.9512,50.0309,49.6424,5.9327,100.000
805.3263,50.0308,49.6417,5.4554,100.000
805.7014,50.0306,49.6416,4.5998,100.000
806.0765,50.0301,49.6410,4.0112,100.000
806.4516,50.0301,49.6398,4.8403,100.000
806.8267,50.0301,49.6377,5.6635,100.000
807.2018,50.0296,49.6363,5.7309,100.000
807.5769,50.0293,49.6361,4.8750,100.000
807.9520,50.0291,49.6366,4.0202,100.000
808.3271,50.0280,49.6359,4.5479,100.000
808.7022,50.0272,49.6352,5.3732,100.000
809.0773,50.0262,49.6339,6.0170,100.000
809.4524,50.0260,49.6334,5.1608,100.000
809.8275,50.0258,49.6330,4.3057,100.000
810.2026,50.0253,49.6316,4.2833,100.000
810.5776,50.0253,49.6308,5.1104,100.000
810.9527,50.0255,49.6300,5.9318,100.000
811.3278,50.0248,49.6288,5.4444,100.000
811.7029,50.0245,49.6282,4.5888,100.000
812.0780,50.0235,49.6264,3.9965,100.000
812.4531,50.0232,49.6251,4.8258,100.000
812.8282,50.0230,49.6231,5.6493,100.000
813.2033,50.0226,49.6214,5.7311,100.000
813.5784,50.0225,49.6211,4.8753,100.000
813.9535,50.0225,49.6215,4.0207,100.000
814.3286,50.0222,49.6203,4.5703,100.000
814.7037,50.0218,49.6193,5.3955,100.000
815.0788,50.0212,49.6175,6.0150,100.000
815.4539,50.0212,49.6169,5.1589,100.000
815.8290,50.0215,49.6166,4.3038,100.000
816.2041,50.0216,49.6153,4.2947,100.000
816.5791,50.0212,49.6145,5.1217,100.000
816.9542,50.0206,49.6138,5.9432,100.000
817.3293,50.0205,49.6125,5.4424,100.000
817.7044,50.0207,49.6121,4.5870,100.000
818.0795,50.0210,49.6111,4.0187,100.000
818.4546,50.0207,49.6102,4.8479,100.000
818.8297,50.0201,49.6088,5.6712,100.000
819.2048,50.0197,49.6074,5.7262,100.000
