NPU_LS,NPD_LS,NPD_HS,DT_ns,CLKEN,VNEG,E_on_uJ,E_off_uJ,E_dt_uJ,E_tot_uJ,ov_pct,margin_V,Vgs_spur_V
3,2,4,15,0,-2,4.54243,0.70848,0.748994,5.9999,19.2484,1.9644,-0.564401
3,2,4,15,1,0,3.55814,0.629898,0.681651,4.86969,23.9434,0.85235,0.54765
3,2,4,15,1,-2,4.77631,0.640328,0.7545,6.17114,23.9715,2.83047,-1.43047
3,2,4,25,0,0,3.47698,1.17471,0.705769,5.35745,18.8671,-0.436303,1.8363
3,2,4,25,0,-2,4.53953,0.709748,1.36382,6.6131,19.2484,1.96448,-0.564485
3,2,4,25,1,0,3.53508,0.632267,0.662834,4.83018,23.9434,0.828099,0.571901
3,2,4,25,1,-2,4.78136,0.641755,1.34571,6.76883,23.9715,2.83578,-1.43578
3,2,4,35,0,0,3.47513,1.17529,1.02975,5.68017,18.8671,-0.436356,1.83636
3,2,4,35,0,-2,4.53647,0.711252,2.33621,7.58393,19.2484,1.96455,-0.564554
3,2,4,35,1,0,3.53159,0.634867,1.0768,5.24325,23.9434,0.827176,0.572824
3,2,4,35,1,-2,4.77661,0.643001,2.31764,7.73725,23.9715,2.83449,-1.43449
3,2,8,5,0,0,3.40624,4.86107,0.079273,8.34658,42.2794,-3.22655,4.62655
